"id","allLetter","area","firstLetter","onlineTime","peopleNumber","platId","platName","proTime","problemTime","regCapital","status1","status2","type"
"142","yikedai","安徽","ykd","2014-12-01 00:00:00","0","3237","宜客贷","2014-12","2014-12-16 00:00:00","0","0","0","跑路"
"143","jinlingcaifu","江苏","jlcfw","2014-04-01 00:00:00","0","3802","金陵财富","2014-12","2014-12-16 00:00:00","5000","0","0","跑路"
"144","yitou","重庆","yt","2014-10-21 00:00:00","0","4839","易投","2014-12","2014-12-16 00:00:00","0","0","1","跑路"
"145","ruichengjinrong","江苏","rcjr","2014-04-29 00:00:00","0","4850","瑞城金融","2014-12","2014-12-16 00:00:00","0","0","1","跑路"
"146","dexincaifu","山东","dxcf1","2014-05-27 00:00:00","0","3241","德信财富","2014-12","2014-12-15 00:00:00","300","0","0","停业"
"147","yixinyitou","安徽","yxyt1","2014-05-04 00:00:00","0","3243","宜信宜投","2014-12","2014-12-15 00:00:00","1000","0","0","提现困难"
"148","zhonghuizaixian","广东","zhzx","2013-07-15 00:00:00","0","192","中汇在线","2014-12","2014-12-14 00:00:00","3000","0","0","提现困难"
"149","linpengchuangtou","贵州","lpct","2014-07-08 00:00:00","0","3244","琳鹏创投","2014-12","2014-12-14 00:00:00","0","0","0","提现困难"
"150","gusucaifu","江苏","gscf2","2014-10-22 00:00:00","0","3245","姑苏财富","2014-12","2014-12-13 00:00:00","1000","0","0","提现困难"
"151","huadiyitou","河北","hdyt","2014-11-04 00:00:00","0","3248","华迪易投","2014-12","2014-12-13 00:00:00","1000","0","0","跑路"
"152","shuobaotouzi","山东","sbtz","2014-11-20 00:00:00","0","3247","硕宝投资","2014-12","2014-12-12 00:00:00","0","0","0","提现困难"
"153","huaxinhengsheng","湖南","hxhs","2014-06-27 00:00:00","0","958","华鑫恒生","2014-12","2014-12-12 00:00:00","1000","0","0","跑路"
"154","biaochentouzi","上海","bctz","2014-07-20 00:00:00","0","3246","标晨投资","2014-12","2014-12-12 00:00:00","10000","0","0","跑路"
"155","caifutianxia","广东","cftx","2013-12-02 00:00:00","0","653","财富天下","2014-12","2014-12-11 00:00:00","10000","0","0","提现困难"
"156","eshangdai","湖北","esd","2014-07-28 00:00:00","0","755","鄂商贷","2014-12","2014-12-11 00:00:00","500","0","0","提现困难"
"157","jujintouzi","四川","jjtz","2014-11-25 00:00:00","0","3240","聚金投资","2014-12","2014-12-11 00:00:00","600","0","0","提现困难"
"158","sanjietourong","广西","sjtr","2013-09-09 00:00:00","0","3251","三姐投融","2014-12","2014-12-11 00:00:00","300","0","0","提现困难"
