"id","date","toPay10","toReceive10","wdzjPlatId"
"573","2017-03-31","7.61","0.30","93"
"574","2017-04-30","6.83","0.29","93"
"575","2017-05-31","6.43","0.27","93"
"576","2017-06-30","5.61","0.29","93"
"577","2016-07-31","7.55","46.28","216"
"578","2016-08-31","5.82","43.46","216"
"579","2016-09-30","8.07","36.53","216"
"580","2016-10-31","6.23","31.31","216"
"581","2016-11-30","6.16","29.24","216"
"582","2016-12-31","6.21","24.88","216"
"583","2017-01-31","6.24","19.24","216"
"584","2017-02-28","5.75","15.53","216"
"585","2017-03-31","7.16","17.69","216"
"586","2017-04-30","7.00","15.03","216"
"587","2017-05-31","4.75","12.01","216"
"588","2017-06-30","4.91","12.97","216"
"589","2016-07-31","0.00","0.00","6369"
"590","2016-08-31","0.00","0.00","6369"
"591","2016-09-30","0.00","0.00","6369"
"592","2016-10-31","0.00","0.00","6369"
"593","2016-11-30","0.00","0.00","6369"
"594","2016-12-31","0.00","0.00","6369"
"595","2017-01-31","100.00","100.00","6369"
"596","2017-02-28","58.68","74.58","6369"
"597","2017-03-31","37.96","33.90","6369"
"598","2017-04-30","15.85","5.67","6369"
"599","2017-05-31","4.22","2.68","6369"
"600","2017-06-30","2.74","1.17","6369"
"601","2016-07-31","1.77","7.51","3995"
"602","2016-08-31","1.65","6.95","3995"
"603","2016-09-30","1.58","7.12","3995"
"604","2016-10-31","1.54","7.28","3995"
"605","2016-11-30","1.47","7.75","3995"
"606","2016-12-31","1.23","7.16","3995"
"607","2017-01-31","1.16","7.26","3995"
"608","2017-02-28","1.17","7.56","3995"
"609","2017-03-31","1.10","8.18","3995"
"610","2017-04-30","1.18","8.72","3995"
"611","2017-05-31","1.28","9.33","3995"
"612","2017-06-30","1.39","10.01","3995"
"613","2016-07-31","16.76","45.42","610"
"614","2016-08-31","29.24","45.36","610"
"615","2016-09-30","31.05","43.48","610"
"616","2016-10-31","35.19","40.52","610"
"617","2016-11-30","39.65","26.75","610"
"618","2016-12-31","40.98","20.88","610"
"619","2017-01-31","42.71","19.33","610"
"620","2017-02-28","40.97","17.04","610"
"621","2017-03-31","41.17","14.71","610"
"622","2017-04-30","41.68","13.83","610"
"623","2017-05-31","43.25","12.49","610"
"624","2017-06-30","29.68","13.02","610"
"625","2016-07-31","3.64","44.17","440"
"626","2016-08-31","3.77","41.76","440"
"627","2016-09-30","4.68","37.88","440"
"628","2016-10-31","4.00","36.40","440"
"629","2016-11-30","4.38","29.66","440"
"630","2016-12-31","4.62","27.62","440"
"631","2017-01-31","4.38","23.84","440"
"632","2017-02-28","3.71","20.38","440"
"633","2017-03-31","3.41","28.49","440"
"634","2017-04-30","3.92","37.82","440"
"635","2017-05-31","2.88","20.20","440"
"636","2017-06-30","2.62","18.75","440"
"637","2016-07-31","8.72","4.42","868"
"638","2016-08-31","7.69","3.89","868"
"639","2016-09-30","7.07","3.59","868"
"640","2016-10-31","8.79","4.86","868"
"641","2016-11-30","8.71","25.17","868"
"642","2016-12-31","10.20","28.07","868"
"643","2017-01-31","9.06","39.43","868"
"644","2017-02-28","9.01","42.74","868"
"645","2017-03-31","11.48","29.02","868"
"646","2017-04-30","9.20","27.52","868"
"647","2017-05-31","5.46","27.52","868"
"648","2017-06-30","5.70","22.65","868"
